"Host","Opponent","Date","Tm","Opp","Tm_odd","Opp_odd","Year"
"WAS","OKC","Mar 14, 2011","89","116","4.42","1.23","2011"
"GSW","MIN","Mar 14, 2011","100","77","1.30","3.62","2011"
"CHI","WAS","Mar 15, 2011","98","79","1.03","16.00","2011"
"ATL","MIL","Mar 15, 2011","110","85","1.44","2.88","2011"
"IND","NYK","Mar 15, 2011","119","117","2.72","1.48","2011"
"LAL","ORL","Mar 15, 2011","97","84","1.40","3.03","2011"
"SAC","GSW","Mar 15, 2011","129","119","1.79","2.06","2011"
"UTA","PHI","Mar 15, 2011","112","107","2.36","1.63","2011"
"HOU","CHO","Mar 16, 2011","94","78","1.31","3.59","2011"
"MIA","OKC","Mar 16, 2011","85","96","1.39","3.12","2011"
"MIL","ORL","Mar 16, 2011","89","93","3.24","1.36","2011"
"NOP","PHO","Mar 16, 2011","100","95","1.49","2.70","2011"
"BOS","IND","Mar 16, 2011","92","80","1.12","6.38","2011"
"DET","TOR","Mar 16, 2011","107","93","1.52","2.61","2011"
"ATL","DEN","Mar 16, 2011","87","102","1.78","2.07","2011"
"POR","DAL","Mar 16, 2011","104","101","2.07","1.78","2011"
"ATL","OKC","Mar 04, 2011","104","111","1.70","2.20","2011"
"BOS","GSW","Mar 04, 2011","107","103","1.17","5.37","2011"
"NYK","CLE","Mar 04, 2011","115","119","1.07","9.44","2011"
"ORL","CHI","Mar 04, 2011","81","89","1.77","2.09","2011"
"PHI","MIN","Mar 04, 2011","111","100","1.20","4.89","2011"
"BRK","TOR","Mar 04, 2011","116","103","1.72","2.18","2011"
"UTA","DEN","Mar 04, 2011","101","103","1.63","2.36","2011"
"MIA","ORL","Mar 04, 2011","96","99","1.41","3.00","2011"
"WAS","MIN","Mar 05, 2011","103","96","1.58","2.45","2011"
"BRK","TOR","Mar 05, 2011","137","136","1.72","2.17","2011"
"LAL","CHO","Mar 05, 2011","92","84","1.07","10.10","2011"
"SAS","MIA","Mar 05, 2011","125","95","1.75","2.12","2011"
"DAL","IND","Mar 05, 2011","116","108","1.20","4.76","2011"
"MIL","PHO","Mar 05, 2011","88","102","2.23","1.69","2011"
"MEM","NOP","Mar 05, 2011","91","98","1.41","2.98","2011"
"DAL","MEM","Mar 06, 2011","103","104","1.33","3.42","2011"
"OKC","PHO","Mar 06, 2011","122","118","1.38","3.12","2011"
"ATL","NYK","Mar 06, 2011","79","92","1.58","2.44","2011"
